metric,population,run,value_ms
membership_proof_gen_ms,1000,180,0.913405
membership_proof_gen_ms,1000,181,0.877861
membership_proof_gen_ms,1000,182,0.871370
membership_proof_gen_ms,1000,183,0.878767
membership_proof_gen_ms,1000,184,0.885523
membership_proof_gen_ms,1000,185,0.936219
membership_proof_gen_ms,1000,186,0.883043
membership_proof_gen_ms,1000,187,0.879931
membership_proof_gen_ms,1000,188,0.887289
membership_proof_gen_ms,1000,189,0.917044
membership_proof_gen_ms,1000,190,0.885771
membership_proof_gen_ms,1000,191,0.888798
membership_proof_gen_ms,1000,192,0.889468
membership_proof_gen_ms,1000,193,0.878520
membership_proof_gen_ms,1000,194,0.902234
membership_proof_gen_ms,1000,195,0.883033
membership_proof_gen_ms,1000,196,0.879561
membership_proof_gen_ms,1000,197,0.894135
membership_proof_gen_ms,1000,198,0.942905
membership_proof_gen_ms,1000,199,0.891687
membership_proof_verify_ms,1000,0,0.034200
membership_proof_verify_ms,1000,1,0.009373
membership_proof_verify_ms,1000,2,0.007983
membership_proof_verify_ms,1000,3,0.007550
membership_proof_verify_ms,1000,4,0.007640
membership_proof_verify_ms,1000,5,0.007632
membership_proof_verify_ms,1000,6,0.007464
membership_proof_verify_ms,1000,7,0.007558
membership_proof_verify_ms,1000,8,0.007479
membership_proof_verify_ms,1000,9,0.007565
membership_proof_verify_ms,1000,10,0.007662
membership_proof_verify_ms,1000,11,0.007826
membership_proof_verify_ms,1000,12,0.007685
membership_proof_verify_ms,1000,13,0.007534
membership_proof_verify_ms,1000,14,0.007442
membership_proof_verify_ms,1000,15,0.007496
membership_proof_verify_ms,1000,16,0.007396
membership_proof_verify_ms,1000,17,0.007430
membership_proof_verify_ms,1000,18,0.007441
membership_proof_verify_ms,1000,19,0.007421
membership_proof_verify_ms,1000,20,0.007370
membership_proof_verify_ms,1000,21,0.007300
membership_proof_verify_ms,1000,22,0.007210
membership_proof_verify_ms,1000,23,0.007454
membership_proof_verify_ms,1000,24,0.007354
